FID,OBJECTID,SLUM_CODE,SLUM_NAME,SRNO,CA,WARD_2017,PRABHAG_20,VILLEGE,LANDMARK,Road_Abutt,DECLARATIO,DECLARE_DT,DECLARE_AR,APPROX_HH,AREA_SQM,SNO_CTSNO_,OWNERSHIP,TENEBILITY,LANDUSE,POPULATION,SRA_STATUS,RAY_CODE_N,GIS_ID,SLUM_RATIN,Shape_Leng,Shape_Area,SCHEME_COV,DENSITY
62,63,1202051413,RAJIV GANDHI NAGAR SHIVAJI NAGAR,189,CA-2,05 SHIVAJI NAGAR GHOLE ROAD,14 DECCAN GYMKHANA MODEL COLONY,TPS-I,SHIVAJI NAGAR GODOWNS,36M ROAD PARALLEL TO MUTHA RIVER,DECLARED,MGG 07/01/1993 Pg 29,5017 SQM,268,8934.482039,FP.NO.809 (CTS NO 19),PRIVATE,UNTENABLE,36M DP ROAD,1608,NO,0234,GHOL2406,51,851.3649536,8934.482039, ,300
63,64,1203073521,SRAMIK VASAHAT DHANAKWADI,246,CA-1,07 DHANAKWADI SAHAKAR NAGAR,35 SAHAKAR NAGAR PADMAVATI,DHANAKWADI,DHANAKWADI,24M DP ROAD,DECLARED,MGG 07/01/1993 Pg 30,1041 SQM,63,1473.296933,"S.NO.11, 12",PMC,TENABLE,EWS ZONE,378,NO,1308,DHAN6903,97,211.5865517,1473.296933, ,428
64,65,1205132916,SAINATH NAGAR NEAR LAXMI NARAYAN THEATAR-1,410,CA-3,13 KASBA VISHRAMBAG,29 NAVI PETH PARVATI,TPS-III,LAXMI NARAYAN THEATAR,50M DP ROAD,DECLARED,MGG 21/06/1984 Pg 1950,1178 SQM,793,16715.08178,"FP.NO.482A, 486C, 486E, 486F",PRIVATE + PMC + STATE GOVT,TENABLE,EWS ZONE,4758,NO,1022,SAHA5704,79,687.6989872,16715.08178, ,474
65,66,1202050703,BHOSALE WADI LABOUR OFFICE OLD WARD NO.62,154,CA-2,05 SHIVAJI NAGAR GHOLE ROAD,07 PUNE UNIVERSITY WAKADEWADI,SANGAMWADI TPS,RAILWAY UNDER BRIDGE WAKADE WADI,42M MUMBAI PUNE ROAD,NOT DECLARED, , ,192,2025.66676,"FP.NO.58, 59",PRIVATE,TENABLE,RESIDENTIAL ZONE,1152,NO,0205,GHOL1302,74,267.0909004,2025.66676, ,948
66,67,1201032012,PATRYACHI CHAWL PRIVATE ROAD TADIWALA ROAD,73,CA-3,03 DHOLE PATIL,20 TADIWALA ROAD SASUN HOSPITAL,SANGAMWADI TPS,TADIWALA ROAD,12M DP ROAD,DECLARED,MGG 22/09/1994 Pg 2063,8296 SQM,473,12244.91969,FP.NO.110,RAILWAY,TENABLE,EWS ZONE,2838,NO,0547,DHOL2208,76,502.7809825,12244.91969, ,386
67,68,1201032019,SWIPPER CHAWL TADIWALA ROAD,80,CA-3,03 DHOLE PATIL,20 TADIWALA ROAD SASUN HOSPITAL,SANGAMWADI TPS,TADIWALA ROAD,18M DP ROAD,NOT DECLARED, , ,487,12734.62883,FP.NO.110A,RAILWAY,TENABLE,EWS ZONE,2922,NO,0564,DHOL2210,69,623.4340635,12734.62883, ,382
68,69,1201032117,LOKSEVA MITRA MANDAL ULHAS NAGAR TADIWALA ROAD,101,CA-3,03 DHOLE PATIL,21 KOREGAON PARK GHORPADI,SANGAMWADI TPS,TADIWALA ROAD,18M DP ROAD,NOT DECLARED, , ,121,4112.88555,FP.NO.110A,RAILWAY,TENABLE,EWS ZONE,726,NO,0537,DHOL2107,73,308.74213,4112.88555, ,294
69,70,1203073517,S.NO.92(P) SHAHU VASAHAT SAHAKAR NAGAR,242,CA-1,07 DHANAKWADI SAHAKAR NAGAR,35 SAHAKAR NAGAR PADMAVATI,TPS-III,SHAHU COLLGE PARVATI,18M 24M DP ROAD,DECLARED,MGG 08/12/1983 Pg 3312,10374.11 SQM,494,12037.29997,"FP.NO.510, 511",STATE GOVT + DEVASTHAN,TENABLE,RESIDENTIAL ZONE,2964,PRAPOSAL SUBMITTED BY,1021,SAHA6802,81,614.8121728,12037.29997, ,410
70,71,1205141903,ANNABHAU SATHE VASAHAT,442,CA-1,14 BHAVANI PETH,19 LOHIYA NAGAR KASEWADI,BHAWANI PETH,SAVITRI PHULE ROAD,INTERNAL PETH ROAD,NOT DECLARED, , ,58,661.539688,CTS.NO.366,PRIVATE,TENABLE,RESIDENTIAL ZONE,348,NO,0915,BHAV6001,86,124.6485064,661.539688, ,877
71,72,1203073513,S.NO.77 DATE BUS STOP SIDDHARTH NAGAR PARVATI,238,CA-1,07 DHANAKWADI SAHAKAR NAGAR,35 SAHAKAR NAGAR PADMAVATI,PARVATI,TALJAI HILL,24M DP ROAD,DECLARED,MGG 16/04/1992 Pg 776 & 777,2687.5 SQM,219,4897.034799,S.NO.77 (CTS NO 2072),STATE GOVT,TENABLE,EWS ZONE,1314,PRAPOSAL SUBMITTED BY AMIT ENTERPRISES,1015,SAHA6801,93,296.8994879,4897.034799, ,447
72,73,1203073518,SAHAKAR NAGAR,243,CA-1,07 DHANAKWADI SAHAKAR NAGAR,35 SAHAKAR NAGAR PADMAVATI,PARVATI,S.NO.54/2 ANNABHAU SATHE NAGAR,24M DP ROAD,DECLARED,MGG 18/09/1980 Pg 2893,7600 SQM,310,7633.20806,"S.NO.54, NALA",PRIVATE,TENABLE,EWS ZONE NALA GREEN BELT,1860,NO,1007,SAHA6701,81,408.1383096,7633.20806, ,406
73,74,1203083003,ANNABHAU SATHE VASAHAT PARVATI,252,CA-1,08 SINHAGAD ROAD,30 JANTA VASAHAT DATTAWADI,TPS-III,SINHAGAD ROAD,INTERNAL ROAD,NOT DECLARED, , ,117,2502.013934,FP.NO.545,PRIVATE + PMC,TENABLE,EWS ZONE + NALA,702,NO,0805,TILK5302,72,257.4725226,2502.013934, ,468
74,75,1205141811,GHORAPADI PETH S.NO.164 NEAR GHORPADE GARDEN,435,CA-1,14 BHAVANI PETH,18 KHADAKMAL ALI M PHULE PETH,TPS-III,GHORPADE GARDEN,18M DP ROAD,DECLARED,MGG 07/09/1989 Pg 2005,2935.40 SQM,167,11164.62578,CTS.NO.164,PRIVATE + PMC,TENABLE,RESIDENTIAL ZONE,1002,NO,0928,BHAV6507,80,535.2027784,11164.62578, ,150
75,76,1203083024,RAJIV GANDHI NAGAR 242 PARVATI PAAYTHA,273,CA-1,08 SINHAGAD ROAD,30 JANTA VASAHAT DATTAWADI,TPS-III,SINHAGAD ROAD,45M SINHAGAD ROAD,DECLARED,"MGG 08/12/1983 Pg 3312, 3313",26853.07 SQM,59,3618.377743,"FP.NO.528, 527",PRIVATE,TENABLE,RESERVATION P-31,354,NO,0833,TILK5611,78,242.9351145,3618.377743, ,163
76,77,1203083021,PANMALA VASAHAT PARAVATI,270,CA-1,08 SINHAGAD ROAD,30 JANTA VASAHAT DATTAWADI,TPS-III,PMC WATER WORKS SINHAGAD ROAD,45M SINHAGAD ROAD,DECLARED,MGG 01/05/1980 Pg 1719,16339.20 SQM,787,11201.15024,FP.NO.529/4,PRIVATE,TENABLE,EWS ZONE DP ROAD,4722,NO,0829,TILK5608,78,467.3192254,11201.15024, ,703
77,78,1205141805,633 MAHATMA PHULE SAMATA BHUMI GANJ PETH,429,CA-1,14 BHAVANI PETH,18 KHADAKMAL ALI M PHULE PETH,TPS-III,PHULE WADA,INTERNAL PETH ROAD,DECLARED,MGG 28/07/1983,6881.59 SQM,468,9575.867552,"FP.NO.217B, 218, 219",PMC,TENABLE,EWS ZONE,2808,NO,0910,BHAV5904,90,411.6488145,9575.867552, ,489
78,79,1203083027,SWAMI VIVEKANAND NAGAR,276,CA-1,08 SINHAGAD ROAD,30 JANTA VASAHAT DATTAWADI,TPS-III,SINHAGAD ROAD,45M SINHAGAD ROAD,DECLARED,MGG 27/04/2000 Pg 682,4382.52 SQM,182,3958.588368,FP.NO.543,PRIVATE,COMPLETED,EWS ZONE,1092,SRA SCHEME COMPLETED BY NAKODA CONSTRUCTION,0837,TILK5313,77,261.2522397,3958.588368, ,460
79,80,1205131501,HIRABAUG SHUKARWAR PETH,374,CA-3,13 KASBA VISHRAMBAG,15 SHANIWAR PETH SADASHIV PETH,TPS-III,HIRABAUG SHUKARWAR PETH,24M DP ROAD,DECLARED,MGG 23/02/1984 Pg 819,2873 SQM,234,3373.698671,CTS.NO.1077 F.P.No.47A,PRIVATE + PMC,TENABLE,EWS ZONE,1404,PRAPOSAL SUBMITTED BY SANJIVANI DEVELOPERS,1105,KASB5801,83,277.0833595,3373.698671, ,694
80,81,1205141813,POPATWADA GANJ PETH,437,CA-1,14 BHAVANI PETH,18 KHADAKMAL ALI M PHULE PETH,TPS-III,POPATWADA GANJ PETH,INTERNAL PETH ROAD,NOT DECLARED, , ,45,827.6715953,"CTS.NO.100, 101, 102, Nala",PRIVATE,COMPLETED,RESIDENTIAL ZONE,270,SRA SCHEME COMPLETED BY AMBAR DEVELOPERS,0960,BHAV5905,82,112.4870522,827.6715953, ,544
81,82,1205153605,PAPAL VASTI BIBVEWADI,485,CA-1,15 BIBVEWADI,36 MARKET YARD LOWER INDIRA NAGAR,BIBVEWADI,BIBVEWADI GAOTHAN,18M DP ROAD,DECLARED,"MGG 22/09/1994 Pg 2063, 2064",4882.75 SQM,183,4626.385501,SNO.634/7A (CTS NO 451),PRIVATE,TENABLE,RESERVATION PG-8,1098,NO,1407,BIBE7003,74,275.1244703,4626.385501, ,396
82,83,1205153602,ANAND NAGAR,482,CA-1,15 BIBVEWADI,36 MARKET YARD LOWER INDIRA NAGAR,BIBVEWADI,BIBVEWADI KONDHWA ROAD,42M 24M DP ROAD,DECLARED,MGG 06/01/2000 Pg 30,2900 SQM,240,5298.896191,"S.NO.580, 578",PRIVATE + PMC,UNTENABLE,RESIDENTIAL + DP ROAD,1440,PRAPOSAL SUBMITTED BY STAR CONSTRUCTION FOR SR-2(7),1402,BIBE7102,54,543.1420254,5298.896191, ,453
83,84,1202061104,KELEWADI HANUMAN NAGAR,209,CA-2,06 KOTHRUD BAVDHAN,11 RAMBAG COLONY SHIVTIRTH,ERANDWANA,PAUD PHATA,30M DP ROAD,DECLARED,MGG 21/06/1984 Pg 1949,26676 SQM,1104,29520.2363,S.NO.44,PRIVATE,TENABLE,RESERVATION SI-8,6624,PRAPOSAL SUBMITTED BY KUMAR SINEW DEVELOPERS P LTD,0308,KOTH2604,74,862.4742753,29520.2363, ,374
84,85,1202061103,KELEWADI ERANDWANA,208,CA-2,06 KOTHRUD BAVDHAN,11 RAMBAG COLONY SHIVTIRTH,ERANDWANA,PAUD PHATA,30M DP ROAD,DECLARED,MGG 21/06/1984 Pg 1949,26676 SQM,1801,40547.79825,S.NO.44,PRIVATE,TENABLE,RESERVATION SI-8,10806,PRAPOSAL SUBMITTED BY KUMAR SINEW DEVELOPERS P LTD,0307,KOTH2603,74,956.4185102,40547.79825, ,444
85,86,1202061110,VASANT NAGAR KELEWADI,215,CA-2,06 KOTHRUD BAVDHAN,11 RAMBAG COLONY SHIVTIRTH,ERANDWANA,PAUD PHATA,30M DP ROAD,DECLARED,MGG 21/06/1984 Pg 1949,26676 SQM,342,10611.48886,S.NO.44,PRIVATE,TENABLE,RESERVATION SI-8,2052,PRAPOSAL SUBMITTED BY KUMAR SINEW DEVELOPERS P LTD,0324,KOTH2608,74,468.0533392,10611.48886, ,322
86,87,1203091311,RAJPUT VITBHATTI ERANDWANA,294,CA-2,09 WARJE KARVE NAGAR,13 ERANDWANA HAPPY COLONY,TPS-I,"MHATRE BRIDGE, PERSISTANT IT",36M DP ROAD PARALLEL TO MUTHA RIVER,DECLARED,MGG 06/04/1995 Pg 646,4500 SQM,260,7312.106311,"FP.NO.14, CTS NO 18, 127",PRIVATE,TENABLE,EWS ZONE RESIDENTIAL ZONE DP ROAD,1560,PRAPOSAL SUBMITTED BY VIKRANT ENTERPRISES,0235,GHOL3604,80,469.7640903,7312.106311, ,356
87,88,1202061005,SAINATH VASAHAT KUMBHARE PLOT,204,CA-2,06 KOTHRUD BAVDHAN,10 BAVDHAN KOTHRUD DEPO,KOTHRUD,KUMBHARE PLOT,INTERNAL ROAD,NOT DECLARED, , ,186,4164.809218,S.NO.82,PRIVATE,TENABLE,EWS ZONE,0,PRAPOSAL SUBMITTED BY RUSHABH INFRASTRUCTURE,0318,KOTH2807,75,502.072438,4164.809218, ,447
88,89,1202061003,PMC COLONY KRISHANA NAGAR SAGAR COLONY,202,CA-2,06 KOTHRUD BAVDHAN,10 BAVDHAN KOTHRUD DEPO,KOTHRUD,VANAJ INDUSTRIES,36M DP ROAD,NOT DECLARED, , ,720,19663.16665,"S.NO.82, 83",PRIVATE + PMC + STATE GOVT,TENABLE,RESERVATION VM-16 EWS ZONE DP ROAD,6168,NO,0314,KOTH2805,63,628.0744228,19663.16665, ,366
89,90,1203091313,SANJAY GANDHI VASAHAT ERANDAWANA,296,CA-2,09 WARJE KARVE NAGAR,13 ERANDWANA HAPPY COLONY,ERANDWANA,KARNATAK HIGHSCHOOL ERANDWANA,HCMTR,DECLARED,"MGG 12/06/1986 Pg 1696, 97",1473 SQM,75,2775.269599,"S.NO.39P (CTS NO 944), NALA",STATE GOVT,UNTENABLE,HCMTR,438,NO,0411,WARJ3505,69,409.9895914,2775.269599, ,270
90,98,1204102306,TULJA BHAVANI GADITAL,333,CA-1,10 HADAPSAR MUNDHWA,23 HADPSAR GAOTHAN SATAVWADI,HADAPSAR,TULJA BHAVANI GADITAL,15M DP ROAD,NOT DECLARED, , ,209,6050.726089,S.NO.4,PMC + STATE GOVT,TENABLE,CANAL EMBANKMENT RESIDENTIAL ZONE,1254,PRAPOSAL SUBMITTED BY BHOSLE TUPE DEVELOPERS,1224,HADA4404,83,480.8501583,6050.726089, ,345
91,99,1204102304,RAMOSHI ALI HADAPSAR,331,CA-1,10 HADAPSAR MUNDHWA,23 HADPSAR GAOTHAN SATAVWADI,HADAPSAR,HADAPSAR GAOTHAN,INTERNAL ROAD,DECLARED,MGG 28/07/1983 Pg 1649,2549.20 SQM,235,7692.893573,GAOTHAN,PRIVATE,TENABLE,RESIDENTIAL ZONE,1410,NO,1219,HADA4208,79,533.8611994,7692.893573, ,305
92,100,1204102305,SAINATH NAGAR HADAPSAR,332,CA-1,10 HADAPSAR MUNDHWA,23 HADPSAR GAOTHAN SATAVWADI,HADAPSAR,SAINATH NAGAR HADAPSAR,INTERNAL ROAD,NOT DECLARED, , ,153,4194.214693,S.NO.3,PRIVATE + STATE GOVT,TENABLE,RESIDENTIAL ZONE,918,NO,1222,HADA4403,75,484.1868277,4194.214693, ,365
93,101,1204102209,LOHIYA NAGAR HADAPSAR,317,CA-1,10 HADAPSAR MUNDHWA,22 MUNDHWA MAGARPATTA CITY,HADAPSAR,MEGA CENTER HADAPASAR,60M DP ROAD,DECLARED,MGG 31/10/1984 Pg 2,7130 SQM,162,8740.67634,S.NO.155,STATE GOVT,TENABLE,EWS ZONE,972,NO,0535,DHOL2006,90,471.6217941,8740.67634, ,185
94,102,1204102307,UNNATI NAGAR HADAPSAR,334,CA-1,10 HADAPSAR MUNDHWA,23 HADPSAR GAOTHAN SATAVWADI,HADAPSAR,UNNATI NAGAR HADAPSAR,INTERNAL ROAD,NOT DECLARED, , ,165,1177.685855,S.NO.10,PRIVATE + PMC,COMPLETED,RESIDENTIAL ZONE,990,SRA SCHEME COMPLETED BY LAXMI NARAYAN REALITY PVT LTD,1227,HADA4405,79,219.0829739,1177.685855, ,1401
95,103,1204102213,MUNDWA RAJIV GANDHI NAGAR NEAR BHAJI MARKET,321,CA-1,10 HADAPSAR MUNDHWA,22 MUNDHWA MAGARPATTA CITY,MUNDHWA,MUNDHWA GAOTHAN,30M DP ROAD,DECLARED,MGG 08/12/1983 Pg 2314,9300 SQM,157,13302.79511,"S.NO.1, 2(pt)",PMC + STATE GOVT,TENABLE,RESIDENTIAL ZONE,942,NO,0544,DHOL2009,90,635.2419664,13302.79511, ,118
96,104,1201032128,SHAKTI NAGAR GHORAPADI,112,CA-3,03 DHOLE PATIL,21 KOREGAON PARK GHORPADI,GHORPADI,BHARAT FORGE ROAD,24M DP ROAD,NOT DECLARED, , ,49,2549.780771,"S.NO.45, 45A, 74B",PRIVATE + STATE GOVT + DEFENCE,TENABLE,RESIDENTIAL ZONE,294,NO,1528,KOND4113,80,210.2964018,2549.780771, ,192
97,105,1204102218,SURVODAYA COLONY MUNDWA,326,CA-1,10 HADAPSAR MUNDHWA,22 MUNDHWA MAGARPATTA CITY,MUNDHWA,MUNDHWA GAOTHAN,30M DP ROAD,DECLARED,MGG 28/07/1983 Pg 1649,12500 SQM,650,35316.06843,"S.NO.94+98+94A+B+3A, 94/1A",PRIVATE + STATE GOVT,TENABLE,RESIDENTIAL ZONE GREEN BELT DP ROAD,3900,NO,0563,DHOL2014,78,806.9713312,35316.06843, ,184
98,106,1204102601,ANNABHAU SATHE NAGAR TARAWADE VASTI,336,CA-1,10 HADAPSAR MUNDHWA,26 MOHAMMADWADI KAUSARBAG,MOHAMMADWADI,MOHAMMADWADI,24M DP ROAD,NOT DECLARED, , ,623,50964.3527,S.NO.93,PMC + STATE GOVT + FOREST,TENABLE,PSP ZONE 23 VILLAGE DP,3738,NO,1202,HADA4501,81,1213.61635,50964.3527, ,122
99,107,1204102604,INDRAYANI NAGAR NYATI ESTATE MOHAMADWADI,339,CA-1,10 HADAPSAR MUNDHWA,26 MOHAMMADWADI KAUSARBAG,MOHAMMADWADI,MOHAMADWADI GAOTHAN,12M DP ROAD,NOT DECLARED, , ,119,7644.134477,S.NO.11,PMC + STATE GOVT,TENABLE,PSP ZONE 23 VILLAGE DP,714,PRAPOSAL SUBMITTED BY SAMYAK GRUHANIRMAN,1207,HADA4502,83,383.3998644,7644.134477, ,156
100,108,1201032119,MARIMATA CHAWL VIKAS NAGAR GHORAPADI,103,CA-3,03 DHOLE PATIL,21 KOREGAON PARK GHORPADI,GHORPADI,GHORPADI RAILWAY DOCYARD,INTERNAL ROAD,NOT DECLARED, , ,188,5730.3798,RAILWAY,RAILWAY,UNTENABLE,TRAFIC & TRANSPORT ZONE,1128,NO,1520,KOND4110,52,615.879614,5730.3798, ,328
101,109,1201032101,AAGWALI CHAWL GHORAPADI GAON,85,CA-3,03 DHOLE PATIL,21 KOREGAON PARK GHORPADI,GHORPADI,RAILWAY YARD GHORPADI,NO ACCESS ROAD,NOT DECLARED, , ,185,4951.561267,RAILWAY,RAILWAY,UNTENABLE,TRAFIC  & TRANSPORT ZONE,1110,NO,0506,DHOL2101,58,443.6195707,4951.561267, ,374
102,110,1201032123,PANCHASHIL NAGAR GHORAPADI,107,CA-3,03 DHOLE PATIL,21 KOREGAON PARK GHORPADI,GHORPADI,GHORPADI RAILWAY DOCYARD,INTERNAL ROAD,NOT DECLARED, , ,486,19702.71717,S.NO.3A,PRIVATE,UNTENABLE,TRAFIC & TRANSPORT ZONE,2916,NO,1522,KOND4112,43,732.3895974,19702.71717, ,247
103,111,1201032133,VIKAS NAGAR SLUM BAHIROBA NALA GHORAPADI,117,CA-3,03 DHOLE PATIL,21 KOREGAON PARK GHORPADI,GHORPADI,GHORPADI GAOTHAN,INTERNAL ROAD,DECLARED,MGG 12/04/1984 Pg 1356,15000 SQM,591,19128.4843,S.NO.79,STATE GOVT,TENABLE,EWS ZONE WATER BODY,3546,NO,1536,KOND4115,80,650.4749204,19128.4843, ,309
104,112,1201032108,DHAVALE VASTI BHARAT FORGE,92,CA-3,03 DHOLE PATIL,21 KOREGAON PARK GHORPADI,GHORPADI,BHARAT FORGE,24M DP ROAD,DECLARED,MGG 12/11/1992 Pg 2324,2900 SQM,143,4819.027122,S.NO.47,PRIVATE,TENABLE,RESIDENTIAL ZONE,858,NO,1507,KOND4104,84,381.0797629,4819.027122, ,297
105,113,1201032015,RAJEWADI NANA PETH,76,CA-3,03 DHOLE PATIL,20 TADIWALA ROAD SASUN HOSPITAL,NANA PETH,DEORAM KHANDARE CHOWK NANA PETJH,DP ROAD,NOT DECLARED, , ,368,8072.615484,"CTS.NO.732 TO 760, 773, 755 TO 758, 777, 994, 778 TO 827, 831 TO 894",PRIVATE,TENABLE,EWS ZONE,2208,NO,0961,BHAV4705,76,663.0112926,8072.615484, ,456
106,114,1205141906,BHAWASAR KARYALAYA GHORAPADE PETH 288,445,CA-1,14 BHAVANI PETH,19 LOHIYA NAGAR KASEWADI,TPS-III,LOHIYA NAGAR,24M DP ROAD,NOT DECLARED, , ,95,2835.013815,FP.NO.281 TO 284,PMC,UNTENABLE,M 2.47 NEW RESERVATION FOR TRANSPORTAION HUB IS PROPOSED AS SHOWN ON MAP,570,NO,0918,BHAV6502,69,238.4267023,2835.013815, ,335
107,115,1205131609,INDIRA NAGAR NALA MANGALWAR PETH,384,CA-3,13 KASBA VISHRAMBAG,16 KASBA PETH SOMVAR PETH,TPS-I,INDIRA NAGAR NALA MANGALWAR PETH,INTERNAL PETH ROAD,NOT DECLARED, , ,89,3130.225597,"FP.NO.908, 907/B, 907G1, 907K, 907/C1, 907B1, 907/G, 907",PRIVATE,TENABLE,EWS ZONE,534,NO,0522,DHOL2306,79,254.3355429,3130.225597, ,284
108,116,1201020620,SHEELA SALVE NAGAR YERAWADA,55,CA-3,02 YERWADA KALAS DHANORI,06 YERAWADA,YERAWADA,YERWADA GAOTHAN,INTERNAL ROAD,NOT DECLARED, , ,155,6563.545023,S.NO.3,PRIVATE + PMC + STATE GOVT,TENABLE,EWS ZONE,930,NO,0633,SANG1410,70,361.4915724,6563.545023, ,236
109,117,1201020619,SHANI ALAI YERAWADA,54,CA-3,02 YERWADA KALAS DHANORI,06 YERAWADA,YERAWADA,YERAWADA GAOTHAN,INTERNAL ROAD,NOT DECLARED, , ,149,7080.707205,GAOTHAN,PRIVATE,TENABLE,RESIDENTIAL ZONE,894,NO,0631,SANG1409,66,348.6214487,7080.707205, ,210
110,118,1201020611,MOTHER TERRASA NAGAR YERAWADA,46,CA-3,02 YERWADA KALAS DHANORI,06 YERAWADA,YERAWADA,NEAR GUNJAN CINEMA,45M DP ROAD,NOT DECLARED, , ,510,15156.73645,"S.NO.2, 3",PRIVATE + PMC + STATE GOVT,TENABLE,INSITU BSUP PROJECTS ONGOING,3060,NO,0619,SANG1402,68,539.5396275,15156.73645, ,336
111,119,1201020603,BHATT NAGAR YERAWADA,38,CA-3,02 YERWADA KALAS DHANORI,06 YERAWADA,YERAWADA,NEAR GUNJAN CINEMA YERAWADA,30M DP ROAD,NOT DECLARED, , ,420,12068.69011,"S.NO.8, 9",PRIVATE + PMC + STATE GOVT,TENABLE,EWS ZONE,2520,NO,0702,NAGA1701,68,457.9462111,12068.69011, ,348
112,120,1201020607,JIJAMATA NAGAR YERAWADA,42,CA-3,02 YERWADA KALAS DHANORI,06 YERAWADA,YERAWADA,NEW KHADAKI GAOTHAN,INTERNAL ROAD,NOT DECLARED, , ,295,10602.76042,S.NO.8,PMC,TENABLE,RESIDENTIAL ZONE,1770,NO,0614,SANG1505,79,595.2586158,10602.76042, ,278
113,121,1201020605,JANATA NAGAR YERAWADA,40,CA-3,02 YERWADA KALAS DHANORI,06 YERAWADA,YERAWADA,NEW KHADAKI GAOTHAN,INTERNAL ROAD,NOT DECLARED, , ,229,11723.08925,"GAOTHAN, 10A",PRIVATE,TENABLE,RESIDENTIAL + EWS ZONE,1374,NO,0612,SANG1504,69,582.0016255,11723.08925, ,195
114,122,1201020610,MANIK NAGAR YERAWADA,45,CA-3,02 YERWADA KALAS DHANORI,06 YERAWADA,YERAWADA,NEAR HOT MIX PLANT YERAWADA,INTERNAL ROAD,NOT DECLARED, , ,184,3188.158175,S.NO.253(10B+14A+16A+17B+18B+25B),STATE GOVT,TENABLE,EWS ZONE,1104,NO,0618,SANG1507,78,251.8933179,3188.158175, ,577
115,123,1201020624,SURAKSHA NAGAR YERAWADA,59,CA-3,02 YERWADA KALAS DHANORI,06 YERAWADA,YERAWADA,NEAR HOT MIX PLANT YERAWADA,30M DP ROAD,NOT DECLARED, , ,189,3963.34645,S.NO.253(10B+14A+16A+17B+18B+25B),STATE GOVT,TENABLE,EWS ZONE,1134,NO,0638,SANG1608,87,304.6540871,3963.34645, ,477
116,124,1201020602,BALAJI NAGAR YERAWADA,37,CA-3,02 YERWADA KALAS DHANORI,06 YERAWADA,YERAWADA,NEAR 22B INDUSTRIAL TRAINNING SCHOOL,30M LOOP ROAD,NOT DECLARED, , ,198,8199.41757,S.NO.253(10B+14A+16A+17B+18B+25B),STATE GOVT,TENABLE,EWS ZONE,1188,NO,0604,SANG1502,80,363.2161697,8199.41757, ,241
117,132,1202040804,BHAHIRAT NAGAR KHADAKI RAILWAY STATION PUNE MUMBAI ROAD,122,CA-2,04 AUNDH BANER,08 AUNDH BOPODI,KHADAKI CANT,KHADAKI RAILWAY STATION,42M DP ROAD,NOT DECLARED, , ,39,932.5612606,RAILWAY,RAILWAY,REMOVED,TRAFIC & TRANSPORTATION,0,SLUM SEEMS TO BE REMOVED,0104,AUND0603,57,261.0913181,932.5612606, ,418
118,133,1201032014,PRIVATE ROAD SIDHARTH NAGAR IMAM MASJID,75,CA-3,03 DHOLE PATIL,20 TADIWALA ROAD SASUN HOSPITAL,SANGAMWADI TPS,TADIWALA ROAD,12M DP ROAD,NOT DECLARED, , ,187,5705.673729,FP.NO.110,RAILWAY,TENABLE,EWS ZONE,1122,NO,0551,DHOL2209,71,310.7229231,5705.673729, ,328
119,134,1201032009,INDIRA NAGAR VIKAS NAGAR TADIWALA ROAD,70,CA-3,03 DHOLE PATIL,20 TADIWALA ROAD SASUN HOSPITAL,SANGAMWADI TPS,TADIWALA ROAD,12M DP ROAD,DECLARED,MGG 22/09/1994 Pg 2064,1404 SQM,236,6195.387023,FP.NO.110,RAILWAY,TENABLE,EWS ZONE,1416,NO,0523,DHOL2204,76,336.2648541,6195.387023, ,381
120,135,1201032004,BHIM SANGHATANA RAJRATANA TADIWALA ROAD,65,CA-3,03 DHOLE PATIL,20 TADIWALA ROAD SASUN HOSPITAL,SANGAMWADI TPS,TADIWALA ROAD,18M DP ROAD,NOT DECLARED, , ,622,11519.9622,FP.NO.110A,RAILWAY,TENABLE,EWS ZONE,3732,NO,0511,DHOL2202,69,568.4381455,11519.9622, ,540
121,136,1201032134,VISHWADEEP TARUN MANDAL MARUTI MANDIR 1,118,CA-3,03 DHOLE PATIL,21 KOREGAON PARK GHORPADI,SANGAMWADI TPS,TADIWALA ROAD,18M DP ROAD,NOT DECLARED, , ,240,6862.917735,FP.NO.110A,RAILWAY,TENABLE,EWS ZONE,1440,NO,0570,DHOL2216,71,351.5885461,6862.917735, ,350
122,137,1201032023,TADIWALA ROAD SANGITA SLUM,84,CA-3,03 DHOLE PATIL,20 TADIWALA ROAD SASUN HOSPITAL,SANGAMWADI TPS,TADIWALA ROAD,18M DP ROAD,NOT DECLARED, , ,525,9270.432493,FP.NO.110A,RAILWAY,TENABLE,EWS ZONE DP ROAD,3150,NO,0569,DHOL2214,70,685.9020046,9270.432493, ,566
123,138,1201032116,LOKSEVA KAPILA DAIRY,100,CA-3,03 DHOLE PATIL,21 KOREGAON PARK GHORPADI,SANGAMWADI TPS,TADIWALA ROAD,18M DP ROAD,NOT DECLARED, , ,339,8801.507012,FP.NO.110A,RAILWAY,TENABLE,EWS ZONE,2034,NO,0536,DHOL2106,71,682.7504179,8801.507012, ,385
124,139,1201032125,RAJIV GANDHI NAGAR KOREGAON PARK DHANYA GODOWN,109,CA-3,03 DHOLE PATIL,21 KOREGAON PARK GHORPADI,KOREGAON PARK,JEWISH CEMETORY,NO ACCESS ROAD,NOT DECLARED, , ,111,3724.93978,RAILWAY,RAILWAY,UNTENABLE,SERVICES RAILWAY ZONE,666,NO,0552,DHOL2110,45,441.3244329,3724.93978, ,298
